Station ID,Time,In,Out
1,2017-09-15 14:00:00,1,1
1,2017-09-15 16:00:00,4,2
1,2017-09-15 18:00:00,4,3
1,2017-09-15 20:00:00,1,1
1,2017-09-15 22:00:00,1,0
1,2017-09-16 00:00:00,1,0
1,2017-09-16 02:00:00,0,0
1,2017-09-16 04:00:00,0,0
1,2017-09-16 06:00:00,1,3
1,2017-09-16 08:00:00,3,9
1,2017-09-16 10:00:00,1,2
1,2017-09-16 12:00:00,1,2
1,2017-09-16 14:00:00,1,1
1,2017-09-16 16:00:00,3,2
1,2017-09-16 18:00:00,3,3
1,2017-09-16 20:00:00,1,2
1,2017-09-16 22:00:00,1,0
1,2017-09-17 00:00:00,1,0
1,2017-09-17 02:00:00,0,0
1,2017-09-17 04:00:00,0,0
1,2017-09-17 06:00:00,1,3
1,2017-09-17 08:00:00,3,10
1,2017-09-17 10:00:00,1,2
1,2017-09-17 12:00:00,1,2
1,2017-09-17 14:00:00,1,1
1,2017-09-17 16:00:00,4,2
1,2017-09-17 18:00:00,3,4
1,2017-09-17 20:00:00,1,1
1,2017-09-17 22:00:00,1,0
1,2017-09-18 00:00:00,0,0
1,2017-09-18 02:00:00,0,0
1,2017-09-18 04:00:00,0,0
1,2017-09-18 06:00:00,1,3
1,2017-09-18 08:00:00,3,10
1,2017-09-18 10:00:00,1,2
1,2017-09-18 12:00:00,1,2
1,2017-09-18 14:00:00,1,1
1,2017-09-18 16:00:00,4,2
1,2017-09-18 18:00:00,3,4
1,2017-09-18 20:00:00,1,1
1,2017-09-18 22:00:00,1,0
1,2017-09-19 00:00:00,0,0
1,2017-09-19 02:00:00,0,0
1,2017-09-19 04:00:00,0,0
1,2017-09-19 06:00:00,1,3
1,2017-09-19 08:00:00,3,11
1,2017-09-19 10:00:00,1,2
1,2017-09-19 12:00:00,1,2
1,2017-09-19 14:00:00,1,1
1,2017-09-19 16:00:00,4,2
1,2017-09-19 18:00:00,3,4
1,2017-09-19 20:00:00,1,1
1,2017-09-19 22:00:00,1,0
2,2017-09-10 00:00:00,0,0
2,2017-09-10 02:00:00,0,0
2,2017-09-10 04:00:00,0,0
2,2017-09-10 06:00:00,2,1
2,2017-09-10 08:00:00,6,3
2,2017-09-10 10:00:00,4,3
2,2017-09-10 12:00:00,6,2
2,2017-09-10 14:00:00,7,3
2,2017-09-10 16:00:00,4,4
2,2017-09-10 18:00:00,6,5
2,2017-09-10 20:00:00,1,1
2,2017-09-10 22:00:00,1,0
2,2017-09-11 00:00:00,0,0
2,2017-09-11 02:00:00,0,0
2,2017-09-11 04:00:00,0,0
2,2017-09-11 06:00:00,2,1
2,2017-09-11 08:00:00,6,3
2,2017-09-11 10:00:00,5,3
2,2017-09-11 12:00:00,6,2
2,2017-09-11 14:00:00,7,3
2,2017-09-11 16:00:00,5,4
2,2017-09-11 18:00:00,6,6
2,2017-09-11 20:00:00,1,1
2,2017-09-11 22:00:00,1,0
2,2017-09-12 00:00:00,0,0
2,2017-09-12 02:00:00,0,0
2,2017-09-12 04:00:00,0,0
2,2017-09-12 06:00:00,2,1
2,2017-09-12 08:00:00,6,4
2,2017-09-12 10:00:00,5,3
2,2017-09-12 12:00:00,6,2
2,2017-09-12 14:00:00,6,3
2,2017-09-12 16:00:00,5,3
2,2017-09-12 18:00:00,6,6
2,2017-09-12 20:00:00,1,1
2,2017-09-12 22:00:00,1,0
2,2017-09-13 00:00:00,0,0
2,2017-09-13 02:00:00,0,0
2,2017-09-13 04:00:00,0,0
2,2017-09-13 06:00:00,2,1
2,2017-09-13 08:00:00,7,4
2,2017-09-13 10:00:00,5,3
2,2017-09-13 12:00:00,6,2
2,2017-09-13 14:00:00,5,3
2,2017-09-13 16:00:00,5,4
2,2017-09-13 18:00:00,6,6
2,2017-09-13 20:00:00,1,1
2,2017-09-13 22:00:00,1,0
2,2017-09-14 00:00:00,0,0
2,2017-09-14 02:00:00,0,0
2,2017-09-14 04:00:00,0,0
2,2017-09-14 06:00:00,2,1
2,2017-09-14 08:00:00,7,4
2,2017-09-14 10:00:00,5,3
2,2017-09-14 12:00:00,6,2
2,2017-09-14 14:00:00,4,3
2,2017-09-14 16:00:00,6,5
2,2017-09-14 18:00:00,5,7
2,2017-09-14 20:00:00,1,1
2,2017-09-14 22:00:00,1,1
2,2017-09-15 00:00:00,0,0
2,2017-09-15 02:00:00,0,0
2,2017-09-15 04:00:00,0,0
2,2017-09-15 06:00:00,3,1
2,2017-09-15 08:00:00,7,3
2,2017-09-15 10:00:00,5,2
2,2017-09-15 12:00:00,7,3
2,2017-09-15 14:00:00,5,3
2,2017-09-15 16:00:00,6,4
2,2017-09-15 18:00:00,5,7
2,2017-09-15 20:00:00,1,1
2,2017-09-15 22:00:00,1,1
2,2017-09-16 00:00:00,0,0
2,2017-09-16 02:00:00,0,0
2,2017-09-16 04:00:00,0,0
2,2017-09-16 06:00:00,3,1
2,2017-09-16 08:00:00,8,4
2,2017-09-16 10:00:00,6,2
2,2017-09-16 12:00:00,7,3
2,2017-09-16 14:00:00,5,3
2,2017-09-16 16:00:00,6,5
2,2017-09-16 18:00:00,6,7
2,2017-09-16 20:00:00,1,2
2,2017-09-16 22:00:00,1,1
2,2017-09-17 00:00:00,0,1
2,2017-09-17 02:00:00,0,0
2,2017-09-17 04:00:00,0,0
2,2017-09-17 06:00:00,3,1
2,2017-09-17 08:00:00,9,4
2,2017-09-17 10:00:00,6,2
2,2017-09-17 12:00:00,6,3
2,2017-09-17 14:00:00,5,3
2,2017-09-17 16:00:00,8,5
2,2017-09-17 18:00:00,5,7
2,2017-09-17 20:00:00,1,2
2,2017-09-17 22:00:00,0,1
2,2017-09-18 00:00:00,0,1
2,2017-09-18 02:00:00,0,0
2,2017-09-18 04:00:00,0,0
2,2017-09-18 06:00:00,3,2
2,2017-09-18 08:00:00,8,4
2,2017-09-18 10:00:00,4,2
2,2017-09-18 12:00:00,6,3
2,2017-09-18 14:00:00,5,3
2,2017-09-18 16:00:00,9,5
2,2017-09-18 18:00:00,5,7
2,2017-09-18 20:00:00,2,2
2,2017-09-18 22:00:00,0,1
2,2017-09-19 00:00:00,0,0
2,2017-09-19 02:00:00,0,0
2,2017-09-19 04:00:00,0,0
2,2017-09-19 06:00:00,3,2
2,2017-09-19 08:00:00,8,4
2,2017-09-19 10:00:00,5,2
2,2017-09-19 12:00:00,7,3
2,2017-09-19 14:00:00,6,3
2,2017-09-19 16:00:00,9,6
2,2017-09-19 18:00:00,5,7
2,2017-09-19 20:00:00,1,2
2,2017-09-19 22:00:00,0,1
3,2017-09-10 00:00:00,1,0
3,2017-09-10 02:00:00,0,1
3,2017-09-10 04:00:00,1,0
3,2017-09-10 06:00:00,14,6
3,2017-09-10 08:00:00,26,11
3,2017-09-10 10:00:00,5,4
3,2017-09-10 12:00:00,5,4
3,2017-09-10 14:00:00,5,4
3,2017-09-10 16:00:00,14,23
3,2017-09-10 18:00:00,7,16
3,2017-09-10 20:00:00,1,2
3,2017-09-10 22:00:00,0,1
3,2017-09-11 00:00:00,1,0
3,2017-09-11 02:00:00,0,0
3,2017-09-11 04:00:00,1,0
3,2017-09-11 06:00:00,14,6
3,2017-09-11 08:00:00,26,11
3,2017-09-11 10:00:00,6,4
3,2017-09-11 12:00:00,5,4
3,2017-09-11 14:00:00,4,4
3,2017-09-11 16:00:00,14,23
3,2017-09-11 18:00:00,7,17
3,2017-09-11 20:00:00,1,2
3,2017-09-11 22:00:00,0,1
3,2017-09-12 00:00:00,1,0
3,2017-09-12 02:00:00,0,0
3,2017-09-12 04:00:00,1,0
3,2017-09-12 06:00:00,15,5
3,2017-09-12 08:00:00,27,12
3,2017-09-12 10:00:00,5,4
3,2017-09-12 12:00:00,5,4
3,2017-09-12 14:00:00,3,4
3,2017-09-12 16:00:00,14,21
3,2017-09-12 18:00:00,7,19
3,2017-09-12 20:00:00,1,2
3,2017-09-12 22:00:00,0,1
3,2017-09-13 00:00:00,1,0
3,2017-09-13 02:00:00,0,0
3,2017-09-13 04:00:00,1,0
3,2017-09-13 06:00:00,16,6
3,2017-09-13 08:00:00,27,12
3,2017-09-13 10:00:00,5,4
3,2017-09-13 12:00:00,5,5
3,2017-09-13 14:00:00,3,3
3,2017-09-13 16:00:00,15,21
3,2017-09-13 18:00:00,8,21
3,2017-09-13 20:00:00,1,2
3,2017-09-13 22:00:00,0,1
3,2017-09-14 00:00:00,1,0
3,2017-09-14 02:00:00,0,0
3,2017-09-14 04:00:00,1,0
3,2017-09-14 06:00:00,15,6
3,2017-09-14 08:00:00,28,12
3,2017-09-14 10:00:00,5,3
3,2017-09-14 12:00:00,4,4
3,2017-09-14 14:00:00,2,3
3,2017-09-14 16:00:00,15,21
3,2017-09-14 18:00:00,8,21
3,2017-09-14 20:00:00,1,3
3,2017-09-14 22:00:00,0,0
3,2017-09-15 00:00:00,1,0
3,2017-09-15 02:00:00,0,0
3,2017-09-15 04:00:00,0,0
3,2017-09-15 06:00:00,16,6
3,2017-09-15 08:00:00,30,12
3,2017-09-15 10:00:00,5,4
3,2017-09-15 12:00:00,4,4
3,2017-09-15 14:00:00,2,4
3,2017-09-15 16:00:00,15,23
3,2017-09-15 18:00:00,8,18
3,2017-09-15 20:00:00,1,1
3,2017-09-15 22:00:00,0,1
3,2017-09-16 00:00:00,0,0
3,2017-09-16 02:00:00,0,0
3,2017-09-16 04:00:00,0,0
3,2017-09-16 06:00:00,17,6
3,2017-09-16 08:00:00,33,14
3,2017-09-16 10:00:00,4,4
3,2017-09-16 12:00:00,5,5
3,2017-09-16 14:00:00,2,4
3,2017-09-16 16:00:00,14,24
3,2017-09-16 18:00:00,8,17
3,2017-09-16 20:00:00,1,1
3,2017-09-16 22:00:00,0,1
3,2017-09-17 00:00:00,0,0
3,2017-09-17 02:00:00,0,0
3,2017-09-17 04:00:00,0,0
3,2017-09-17 06:00:00,17,6
3,2017-09-17 08:00:00,34,14
3,2017-09-17 10:00:00,4,3
3,2017-09-17 12:00:00,4,5
3,2017-09-17 14:00:00,3,3
3,2017-09-17 16:00:00,15,24
3,2017-09-17 18:00:00,8,17
3,2017-09-17 20:00:00,1,1
3,2017-09-17 22:00:00,0,0
3,2017-09-18 00:00:00,0,1
3,2017-09-18 02:00:00,0,0
3,2017-09-18 04:00:00,0,0
3,2017-09-18 06:00:00,16,6
3,2017-09-18 08:00:00,33,14
3,2017-09-18 10:00:00,4,3
3,2017-09-18 12:00:00,4,5
3,2017-09-18 14:00:00,4,4
3,2017-09-18 16:00:00,15,24
3,2017-09-18 18:00:00,8,16
3,2017-09-18 20:00:00,1,1
3,2017-09-18 22:00:00,0,0
3,2017-09-19 00:00:00,0,1
3,2017-09-19 02:00:00,0,0
3,2017-09-19 04:00:00,0,0
3,2017-09-19 06:00:00,17,6
3,2017-09-19 08:00:00,35,14
3,2017-09-19 10:00:00,4,3
3,2017-09-19 12:00:00,4,6
3,2017-09-19 14:00:00,4,4
3,2017-09-19 16:00:00,15,27
3,2017-09-19 18:00:00,7,13
3,2017-09-19 20:00:00,1,1
3,2017-09-19 22:00:00,0,0
4,2017-09-10 00:00:00,1,0
4,2017-09-10 02:00:00,0,0
4,2017-09-10 04:00:00,0,0
4,2017-09-10 06:00:00,0,3
4,2017-09-10 08:00:00,4,8
4,2017-09-10 10:00:00,2,2
4,2017-09-10 12:00:00,2,3
4,2017-09-10 14:00:00,2,1
4,2017-09-10 16:00:00,9,2
4,2017-09-10 18:00:00,8,2
4,2017-09-10 20:00:00,1,1
4,2017-09-10 22:00:00,1,1
4,2017-09-11 00:00:00,0,1
4,2017-09-11 02:00:00,0,0
4,2017-09-11 04:00:00,0,0
4,2017-09-11 06:00:00,0,3
4,2017-09-11 08:00:00,5,8
4,2017-09-11 10:00:00,2,1
4,2017-09-11 12:00:00,1,3
4,2017-09-11 14:00:00,2,2
4,2017-09-11 16:00:00,8,2
4,2017-09-11 18:00:00,8,2
4,2017-09-11 20:00:00,1,1
4,2017-09-11 22:00:00,1,0
4,2017-09-12 00:00:00,0,1
4,2017-09-12 02:00:00,0,0
4,2017-09-12 04:00:00,0,0
4,2017-09-12 06:00:00,0,3
4,2017-09-12 08:00:00,5,8
4,2017-09-12 10:00:00,2,1
4,2017-09-12 12:00:00,1,3
4,2017-09-12 14:00:00,2,2
4,2017-09-12 16:00:00,7,2
4,2017-09-12 18:00:00,7,2
4,2017-09-12 20:00:00,1,1
4,2017-09-12 22:00:00,1,0
4,2017-09-13 00:00:00,0,1
4,2017-09-13 02:00:00,0,1
4,2017-09-13 04:00:00,0,0
4,2017-09-13 06:00:00,0,4
4,2017-09-13 08:00:00,4,9
4,2017-09-13 10:00:00,2,1
4,2017-09-13 12:00:00,1,2
4,2017-09-13 14:00:00,2,2
4,2017-09-13 16:00:00,7,2
4,2017-09-13 18:00:00,7,2
4,2017-09-13 20:00:00,1,0
4,2017-09-13 22:00:00,1,0
4,2017-09-14 00:00:00,1,0
4,2017-09-14 02:00:00,0,0
4,2017-09-14 04:00:00,0,0
4,2017-09-14 06:00:00,0,3
4,2017-09-14 08:00:00,3,7
4,2017-09-14 10:00:00,1,1
4,2017-09-14 12:00:00,1,2
4,2017-09-14 14:00:00,2,2
4,2017-09-14 16:00:00,7,2
4,2017-09-14 18:00:00,7,2
4,2017-09-14 20:00:00,1,0
4,2017-09-14 22:00:00,1,0
4,2017-09-15 00:00:00,1,0
4,2017-09-15 02:00:00,0,0
4,2017-09-15 04:00:00,0,0
4,2017-09-15 06:00:00,0,2
4,2017-09-15 08:00:00,3,7
4,2017-09-15 10:00:00,1,3
4,2017-09-15 12:00:00,1,2
4,2017-09-15 14:00:00,2,2
4,2017-09-15 16:00:00,8,3
4,2017-09-15 18:00:00,6,2
4,2017-09-15 20:00:00,3,0
4,2017-09-15 22:00:00,1,0
4,2017-09-16 00:00:00,1,0
4,2017-09-16 02:00:00,0,0
4,2017-09-16 04:00:00,0,0
4,2017-09-16 06:00:00,0,2
4,2017-09-16 08:00:00,4,8
4,2017-09-16 10:00:00,2,3
4,2017-09-16 12:00:00,1,2
4,2017-09-16 14:00:00,3,2
4,2017-09-16 16:00:00,8,2
4,2017-09-16 18:00:00,6,2
4,2017-09-16 20:00:00,3,0
4,2017-09-16 22:00:00,2,0
4,2017-09-17 00:00:00,1,1
4,2017-09-17 02:00:00,0,0
4,2017-09-17 04:00:00,0,0
4,2017-09-17 06:00:00,0,2
4,2017-09-17 08:00:00,3,8
4,2017-09-17 10:00:00,1,4
4,2017-09-17 12:00:00,1,3
4,2017-09-17 14:00:00,3,2
4,2017-09-17 16:00:00,8,2
4,2017-09-17 18:00:00,6,2
4,2017-09-17 20:00:00,3,1
4,2017-09-17 22:00:00,2,0
4,2017-09-18 00:00:00,1,1
4,2017-09-18 02:00:00,0,0
4,2017-09-18 04:00:00,0,0
4,2017-09-18 06:00:00,0,2
4,2017-09-18 08:00:00,3,8
4,2017-09-18 10:00:00,1,4
4,2017-09-18 12:00:00,2,2
4,2017-09-18 14:00:00,3,1
4,2017-09-18 16:00:00,9,3
4,2017-09-18 18:00:00,7,2
4,2017-09-18 20:00:00,3,1
4,2017-09-18 22:00:00,2,1
4,2017-09-19 00:00:00,1,0
4,2017-09-19 02:00:00,0,0
4,2017-09-19 04:00:00,0,0
4,2017-09-19 06:00:00,0,2
4,2017-09-19 08:00:00,3,10
4,2017-09-19 10:00:00,2,7
4,2017-09-19 12:00:00,2,2
4,2017-09-19 14:00:00,3,2
4,2017-09-19 16:00:00,8,3
4,2017-09-19 18:00:00,6,3
4,2017-09-19 20:00:00,3,1
4,2017-09-19 22:00:00,2,1
5,2017-09-10 00:00:00,1,1
5,2017-09-10 02:00:00,0,0
5,2017-09-10 04:00:00,1,0
5,2017-09-10 06:00:00,10,4
5,2017-09-10 08:00:00,13,8
5,2017-09-10 10:00:00,6,4
5,2017-09-10 12:00:00,5,5
5,2017-09-10 14:00:00,9,8
5,2017-09-10 16:00:00,11,14
5,2017-09-10 18:00:00,11,18
5,2017-09-10 20:00:00,6,4
5,2017-09-10 22:00:00,3,2
5,2017-09-11 00:00:00,1,1
5,2017-09-11 02:00:00,0,0
5,2017-09-11 04:00:00,1,0
5,2017-09-11 06:00:00,10,4
5,2017-09-11 08:00:00,13,8
5,2017-09-11 10:00:00,7,4
5,2017-09-11 12:00:00,5,5
5,2017-09-11 14:00:00,8,8
5,2017-09-11 16:00:00,11,14
5,2017-09-11 18:00:00,11,19
5,2017-09-11 20:00:00,6,4
5,2017-09-11 22:00:00,3,2
5,2017-09-12 00:00:00,1,1
5,2017-09-12 02:00:00,0,0
5,2017-09-12 04:00:00,1,0
5,2017-09-12 06:00:00,11,5
5,2017-09-12 08:00:00,14,8
5,2017-09-12 10:00:00,7,4
5,2017-09-12 12:00:00,6,5
5,2017-09-12 14:00:00,7,8
5,2017-09-12 16:00:00,11,13
5,2017-09-12 18:00:00,10,19
5,2017-09-12 20:00:00,6,4
5,2017-09-12 22:00:00,3,3
5,2017-09-13 00:00:00,1,1
5,2017-09-13 02:00:00,0,0
5,2017-09-13 04:00:00,1,0
5,2017-09-13 06:00:00,10,5
5,2017-09-13 08:00:00,16,8
5,2017-09-13 10:00:00,7,4
5,2017-09-13 12:00:00,7,5
5,2017-09-13 14:00:00,8,10
5,2017-09-13 16:00:00,11,13
5,2017-09-13 18:00:00,11,19
5,2017-09-13 20:00:00,5,3
5,2017-09-13 22:00:00,3,2
5,2017-09-14 00:00:00,1,1
5,2017-09-14 02:00:00,0,0
5,2017-09-14 04:00:00,1,0
5,2017-09-14 06:00:00,11,5
5,2017-09-14 08:00:00,16,8
5,2017-09-14 10:00:00,7,4
5,2017-09-14 12:00:00,8,6
5,2017-09-14 14:00:00,8,9
5,2017-09-14 16:00:00,9,11
5,2017-09-14 18:00:00,10,17
5,2017-09-14 20:00:00,3,3
5,2017-09-14 22:00:00,3,2
5,2017-09-15 00:00:00,1,1
5,2017-09-15 02:00:00,0,0
5,2017-09-15 04:00:00,1,0
5,2017-09-15 06:00:00,11,5
5,2017-09-15 08:00:00,17,7
5,2017-09-15 10:00:00,8,4
5,2017-09-15 12:00:00,8,5
5,2017-09-15 14:00:00,7,9
5,2017-09-15 16:00:00,8,11
5,2017-09-15 18:00:00,10,18
5,2017-09-15 20:00:00,3,2
5,2017-09-15 22:00:00,2,3
5,2017-09-16 00:00:00,1,1
5,2017-09-16 02:00:00,0,0
5,2017-09-16 04:00:00,1,0
5,2017-09-16 06:00:00,11,5
5,2017-09-16 08:00:00,18,7
5,2017-09-16 10:00:00,8,5
5,2017-09-16 12:00:00,9,7
5,2017-09-16 14:00:00,7,8
5,2017-09-16 16:00:00,9,13
5,2017-09-16 18:00:00,9,17
5,2017-09-16 20:00:00,2,2
5,2017-09-16 22:00:00,2,3
5,2017-09-17 00:00:00,1,1
5,2017-09-17 02:00:00,0,0
5,2017-09-17 04:00:00,1,0
5,2017-09-17 06:00:00,11,5
5,2017-09-17 08:00:00,18,7
5,2017-09-17 10:00:00,7,5
5,2017-09-17 12:00:00,9,8
5,2017-09-17 14:00:00,7,9
5,2017-09-17 16:00:00,9,12
5,2017-09-17 18:00:00,9,16
5,2017-09-17 20:00:00,2,2
5,2017-09-17 22:00:00,2,3
5,2017-09-18 00:00:00,1,0
5,2017-09-18 02:00:00,0,0
5,2017-09-18 04:00:00,1,0
5,2017-09-18 06:00:00,11,4
5,2017-09-18 08:00:00,18,7
5,2017-09-18 10:00:00,6,5
5,2017-09-18 12:00:00,8,8
5,2017-09-18 14:00:00,8,8
5,2017-09-18 16:00:00,10,12
5,2017-09-18 18:00:00,9,16
5,2017-09-18 20:00:00,2,2
5,2017-09-18 22:00:00,1,3
5,2017-09-19 00:00:00,1,0
5,2017-09-19 02:00:00,0,0
5,2017-09-19 04:00:00,1,0
5,2017-09-19 06:00:00,11,5
5,2017-09-19 08:00:00,18,7
5,2017-09-19 10:00:00,5,6
5,2017-09-19 12:00:00,7,8
5,2017-09-19 14:00:00,8,8
5,2017-09-19 16:00:00,11,13
5,2017-09-19 18:00:00,9,15
5,2017-09-19 20:00:00,2,2
5,2017-09-19 22:00:00,1,3
6,2017-09-10 00:00:00,0,0
6,2017-09-10 02:00:00,0,0
6,2017-09-10 04:00:00,1,0
6,2017-09-10 06:00:00,4,2
6,2017-09-10 08:00:00,14,5
6,2017-09-10 10:00:00,5,4
6,2017-09-10 12:00:00,5,6
6,2017-09-10 14:00:00,6,7
6,2017-09-10 16:00:00,5,12
6,2017-09-10 18:00:00,6,7
6,2017-09-10 20:00:00,2,2
6,2017-09-10 22:00:00,1,2
6,2017-09-11 00:00:00,0,0
6,2017-09-11 02:00:00,0,0
6,2017-09-11 04:00:00,1,0
6,2017-09-11 06:00:00,4,2
6,2017-09-11 08:00:00,15,5
6,2017-09-11 10:00:00,4,4
6,2017-09-11 12:00:00,6,7
6,2017-09-11 14:00:00,7,7
6,2017-09-11 16:00:00,5,11
6,2017-09-11 18:00:00,5,6
6,2017-09-11 20:00:00,2,2
6,2017-09-11 22:00:00,1,1
6,2017-09-12 00:00:00,0,0
6,2017-09-12 02:00:00,0,0
6,2017-09-12 04:00:00,1,0
6,2017-09-12 06:00:00,4,2
6,2017-09-12 08:00:00,15,5
6,2017-09-12 10:00:00,4,4
6,2017-09-12 12:00:00,7,8
6,2017-09-12 14:00:00,6,8
6,2017-09-12 16:00:00,4,10
6,2017-09-12 18:00:00,6,6
6,2017-09-12 20:00:00,2,2
6,2017-09-12 22:00:00,1,1
6,2017-09-13 00:00:00,0,0
6,2017-09-13 02:00:00,0,0
6,2017-09-13 04:00:00,1,0
6,2017-09-13 06:00:00,4,2
6,2017-09-13 08:00:00,14,5
6,2017-09-13 10:00:00,4,5
6,2017-09-13 12:00:00,7,8
6,2017-09-13 14:00:00,6,8
6,2017-09-13 16:00:00,4,10
6,2017-09-13 18:00:00,6,8
6,2017-09-13 20:00:00,2,2
6,2017-09-13 22:00:00,1,1
6,2017-09-14 00:00:00,0,0
6,2017-09-14 02:00:00,0,0
6,2017-09-14 04:00:00,1,0
6,2017-09-14 06:00:00,4,2
6,2017-09-14 08:00:00,14,4
6,2017-09-14 10:00:00,4,4
6,2017-09-14 12:00:00,7,8
6,2017-09-14 14:00:00,6,7
6,2017-09-14 16:00:00,4,10
6,2017-09-14 18:00:00,6,9
6,2017-09-14 20:00:00,2,2
6,2017-09-14 22:00:00,0,1
6,2017-09-15 00:00:00,0,0
6,2017-09-15 02:00:00,0,0
6,2017-09-15 04:00:00,1,0
6,2017-09-15 06:00:00,4,2
6,2017-09-15 08:00:00,14,4
6,2017-09-15 10:00:00,4,4
6,2017-09-15 12:00:00,7,8
6,2017-09-15 14:00:00,5,8
6,2017-09-15 16:00:00,5,10
6,2017-09-15 18:00:00,6,8
6,2017-09-15 20:00:00,1,1
6,2017-09-15 22:00:00,0,1
6,2017-09-16 00:00:00,0,0
6,2017-09-16 02:00:00,0,0
6,2017-09-16 04:00:00,1,0
6,2017-09-16 06:00:00,5,2
6,2017-09-16 08:00:00,15,4
6,2017-09-16 10:00:00,4,3
6,2017-09-16 12:00:00,8,9
6,2017-09-16 14:00:00,5,9
6,2017-09-16 16:00:00,6,11
6,2017-09-16 18:00:00,5,9
6,2017-09-16 20:00:00,1,1
6,2017-09-16 22:00:00,0,1
6,2017-09-17 00:00:00,0,0
6,2017-09-17 02:00:00,0,0
6,2017-09-17 04:00:00,1,0
6,2017-09-17 06:00:00,5,2
6,2017-09-17 08:00:00,15,4
6,2017-09-17 10:00:00,4,4
6,2017-09-17 12:00:00,8,9
6,2017-09-17 14:00:00,4,7
6,2017-09-17 16:00:00,5,11
6,2017-09-17 18:00:00,5,8
6,2017-09-17 20:00:00,1,1
6,2017-09-17 22:00:00,0,0
6,2017-09-18 00:00:00,0,0
6,2017-09-18 02:00:00,0,0
6,2017-09-18 04:00:00,1,0
6,2017-09-18 06:00:00,5,2
6,2017-09-18 08:00:00,14,3
6,2017-09-18 10:00:00,4,4
6,2017-09-18 12:00:00,7,7
6,2017-09-18 14:00:00,6,9
6,2017-09-18 16:00:00,6,13
6,2017-09-18 18:00:00,5,9
6,2017-09-18 20:00:00,2,2
6,2017-09-18 22:00:00,0,0
6,2017-09-19 00:00:00,0,0
6,2017-09-19 02:00:00,0,0
6,2017-09-19 04:00:00,1,0
6,2017-09-19 06:00:00,5,2
6,2017-09-19 08:00:00,13,3
6,2017-09-19 10:00:00,4,4
6,2017-09-19 12:00:00,6,6
6,2017-09-19 14:00:00,5,8
6,2017-09-19 16:00:00,7,14
6,2017-09-19 18:00:00,5,8
6,2017-09-19 20:00:00,2,2
6,2017-09-19 22:00:00,0,0
7,2017-09-10 00:00:00,1,0
7,2017-09-10 02:00:00,0,0
7,2017-09-10 04:00:00,0,0
7,2017-09-10 06:00:00,0,3
7,2017-09-10 08:00:00,1,4
7,2017-09-10 10:00:00,1,3
7,2017-09-10 12:00:00,1,2
7,2017-09-10 14:00:00,2,3
7,2017-09-10 16:00:00,4,3
7,2017-09-10 18:00:00,6,2
7,2017-09-10 20:00:00,2,1
7,2017-09-10 22:00:00,0,0
7,2017-09-11 00:00:00,0,0
7,2017-09-11 02:00:00,0,0
7,2017-09-11 04:00:00,0,0
